ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.789,-9.3781,-5.5074,-0.4245,-9.7503,0.9603,4.204,-4.3053,-3.3192,-1.3556,-0.7689,-0.3963,319868,2021-05-19 16:36:14:284
-0.262,-2.8783,11.0931,-0.8144,-9.2027,-3.2891,-3.6134,-7.0805,-3.2914,0.7242,2.2963,0.0863,320368,2021-05-19 16:36:14:784
-2.747,-17.0943,2.2711,-1.2233,-9.4263,2.4124,6.5939,-4.2258,-4.6419,0.3267,1.9643,-0.8715,320868,2021-05-19 16:36:15:284
0.5279,-6.9984,4.8374,-0.6941,-9.504,-2.3157,0.8415,-0.1403,8.4373,-0.5163,1.4414,-0.1695,321368,2021-05-19 16:36:15:784
-1.069,-17.2929,4.5694,-0.1146,-9.7888,-0.581,0.4814,-5.2437,0.3903,-2.8881,-0.5194,-0.9977,321869,2021-05-19 16:36:16:285
2.5056,-1.1282,-0.8868,-0.8339,-9.2499,-3.1488,-2.0789,-0.0652,2.1491,2.5291,0.4702,0.3674,322368,2021-05-19 16:36:16:784
-2.9387,-17.3985,-2.0695,-1.1144,-9.4252,-2.4688,-3.4313,-6.9185,1.5432,-2.6381,-1.869,0.7381,322868,2021-05-19 16:36:17:284
-2.8597,-0.958,4.7082,-1.1822,-9.7119,-0.6724,-0.9243,6.7236,6.9042,0.5018,1.4089,0.2355,323368,2021-05-19 16:36:17:784
0.6455,-8.3031,-4.2027,-0.3326,-9.5891,-2.0271,-2.0361,-6.1666,2.1653,-3.4162,0.153,0.2799,323868,2021-05-19 16:36:18:284
0.6455,-20.822,4.8781,-0.7717,-9.6342,-1.6607,-4.1939,1.9538,5.1654,2.2459,4.9978,1.0215,324368,2021-05-19 16:36:18:784
-4.4252,-12.5145,5.8382,-0.5734,-9.1088,-3.5878,-4.3135,-2.6521,6.8177,-2.365,-1.454,-1.2955,324870,2021-05-19 16:36:19:286
2.1775,-8.6982,-5.8642,-1.1041,-9.7437,-0.1121,-1.2863,-4.7015,-0.1737,3.2592,5.3613,0.9868,325368,2021-05-19 16:36:19:784
-3.8916,-10.9702,-1.3777,-0.9947,-9.3022,-2.9411,-5.1852,-5.8431,5.1965,-2.4362,-1.9901,-0.1139,325868,2021-05-19 16:36:20:284
1.2057,-9.146,7.7824,-0.8113,-9.6754,1.3783,0.8993,3.0863,-2.1321,1.9002,-2.8301,-0.0043,326368,2021-05-19 16:36:20:784
-5.5361,-13.4264,1.1291,-0.4603,-8.9152,-4.0592,-1.211,-2.1419,3.2865,-1.4297,-2.7542,-1.4387,326869,2021-05-19 16:36:21:285
0.6479,-15.6984,6.4199,-0.8315,-9.7655,0.3371,-1.7704,-4.7884,-0.1935,1.627,4.0188,0.8202,327369,2021-05-19 16:36:21:785
1.0116,-6.4095,4.5263,-0.804,-9.387,-2.7218,-5.325,-5.8047,5.4355,-2.4997,-1.6033,-0.4829,327868,2021-05-19 16:36:22:284
0.8201,-7.7405,-7.8775,-0.7049,-9.6497,1.5992,1.7469,1.4161,1.9295,2.3592,-2.1144,-0.2332,328369,2021-05-19 16:36:22:785
1.6723,-5.3273,3.9111,-0.1994,-8.881,-4.1543,-0.4641,-0.4451,3.5699,-3.5648,-1.1215,1.1095,328868,2021-05-19 16:36:23:284
1.0068,-8.5355,-9.982,-0.9758,-9.7573,0.117,-1.4094,-5.3928,2.3443,0.7312,0.4603,1.1799,329368,2021-05-19 16:36:23:784
1.7803,-6.7424,3.7002,-0.6508,-8.861,-4.1508,0.908,4.3305,9.0166,-2.0819,-1.2229,-1.3416,329872,2021-05-19 16:36:24:288
3.0251,-11.8322,6.3721,-0.6755,-9.7013,1.2647,1.8114,1.5793,1.1635,2.1261,-1.0956,-0.2373,330369,2021-05-19 16:36:24:785
0.2503,3.3296,3.1735,-0.0615,-9.0022,-3.8892,1.0027,-1.9551,2.4174,-2.7132,-2.3255,0.6993,330868,2021-05-19 16:36:25:284
2.0267,-9.3661,-3.9631,-0.886,-9.759,0.3837,-1.8502,-3.6726,1.3505,2.176,0.8219,-0.3384,331368,2021-05-19 16:36:25:784
-0.6595,-1.4871,6.4463,-1.0506,-9.1691,-3.3156,-6.4496,-5.5504,5.9672,-3.2644,-2.2137,0.5682,331868,2021-05-19 16:36:26:284
0.1116,-6.1125,7.1429,-0.7223,-9.6848,1.3615,0.3258,1.9548,2.762,1.0465,-0.8911,0.575,332369,2021-05-19 16:36:26:785
1.7779,-6.8859,4.282,-0.3409,-9.0841,-3.6786,-0.8083,-0.0948,3.1801,-1.4071,-1.6873,-1.523,332869,2021-05-19 16:36:27:285
-2.668,-11.4658,-0.5994,-0.8931,-9.3981,2.6547,2.3907,1.2483,-2.7162,1.8913,3.0336,-0.348,333367,2021-05-19 16:36:27:783
-1.7154,0.294,4.0905,-0.6326,-9.0106,-3.8183,0.2528,7.7655,8.8719,-1.8145,-1.5224,-0.8211,333868,2021-05-19 16:36:28:284
-3.032,-10.611,-12.0984,-0.9798,-9.6313,1.5648,0.6628,3.5057,-9.099,2.3139,-0.3129,-0.1694,334369,2021-05-19 16:36:28:785
-1.4136,0.9141,3.5662,-0.356,-9.114,-3.6027,2.0628,1.8232,6.613,-0.4181,-2.8867,-1.1653,334870,2021-05-19 16:36:29:286
-2.3569,-11.7338,-3.4938,-0.733,-9.68,1.3891,1.729,-2.7422,7.4713,1.8463,1.0717,0.219,335368,2021-05-19 16:36:29:784
-1.1145,2.1757,1.5479,-0.4006,-9.2154,-3.3295,-0.9101,9.6186,8.4907,-1.0475,-1.6339,-1.6664,335868,2021-05-19 16:36:30:284
-1.0591,-11.0085,-1.6481,-1.2571,-9.4413,2.3348,2.3124,0.5097,-9.0514,1.2802,0.8909,0.5782,336369,2021-05-19 16:36:30:785
-0.9993,-1.4225,-2.9913,-1.0774,-9.2719,-3.0068,0.8186,7.2481,10.0792,0.9625,-0.8544,0.5533,336868,2021-05-19 16:36:31:284
-1.081,-9.8091,-2.1485,-1.617,-9.2364,2.8714,0.1923,-1.7696,-6.5817,1.957,1.5929,0.0773,337368,2021-05-19 16:36:31:784
-9.5513,-18.0497,-14.1452,-0.3026,-9.2826,-3.1485,-0.6802,8.9908,6.6371,0.1779,-0.8679,0.0017,337868,2021-05-19 16:36:32:284
-3.6592,-9.2919,0.0637,-1.2813,-9.3378,2.7082,2.7491,1.2663,-2.3699,0.8564,1.715,0.3499,338369,2021-05-19 16:36:32:785
-6.3048,-19.8141,-13.2763,-0.8374,-9.2156,-3.2467,-0.3511,3.2508,-5.7979,-0.4949,-2.732,-1.2373,338868,2021-05-19 16:36:33:284
-0.6858,-10.3573,-5.4117,-1.6491,-9.2543,2.7945,-1.1395,1.0018,-3.8823,1.7185,2.5659,-0.465,339368,2021-05-19 16:36:33:784
-1.7824,-4.8126,-6.8049,-0.4805,-9.1734,-3.4335,-1.8999,11.7507,7.3917,0.4216,-1.1426,0.1023,339868,2021-05-19 16:36:34:284
-2.3641,-12.615,-11.246,-1.2556,-9.3756,2.5868,2.7384,-3.7625,-7.2767,0.6217,2.1586,0.0111,340369,2021-05-19 16:36:34:785
-0.9969,-0.7427,-0.2596,-1.0327,-9.3729,-2.6931,-0.508,6.4353,-4.083,-0.4311,-2.6778,-1.3388,340868,2021-05-19 16:36:35:284
2.9916,-10.2688,-4.4252,-1.7977,-9.1713,2.9708,-2.6389,0.3727,-3.1891,2.0077,-0.0487,0.5653,341369,2021-05-19 16:36:35:785
-6.635,-15.9906,-3.6401,-0.2175,-9.2102,-3.3609,-0.3671,10.114,7.301,0.74,-0.1345,-0.6451,341872,2021-05-19 16:36:36:288
6.3242,-13.2326,3.5231,-1.0501,-9.4433,2.4273,2.519,1.8636,-6.6278,0.5609,2.2575,-0.197,342369,2021-05-19 16:36:36:785
-3.1158,-11.6955,-12.4597,-1.0608,-9.1829,-3.274,-0.5049,6.7499,-4.1492,0.0217,-1.0119,0.3567,342868,2021-05-19 16:36:37:284
4.4566,-11.5831,0.734,-1.3098,-9.2143,3.0905,0.5988,1.8586,1.2235,1.8991,2.7155,-0.0933,343368,2021-05-19 16:36:37:784
-8.0046,-27.0227,-12.0553,-0.4584,-9.1484,-3.5025,-0.8887,9.8456,8.4254,0.7762,0.1981,-0.1723,343868,2021-05-19 16:36:38:284
-1.5571,-11.9949,-12.2252,-1.662,-9.2518,2.7952,1.8452,-2.9271,-9.9709,0.698,2.2814,-0.1907,344369,2021-05-19 16:36:38:785
-0.2477,-1.4847,-1.9187,-0.8526,-9.305,-2.9766,0.8392,7.4717,-0.608,-0.1755,-3.0637,-0.6721,344868,2021-05-19 16:36:39:284
5.8047,-11.2193,2.2687,-1.4312,-9.2073,3.0573,-0.3627,0.8796,-0.0595,1.9744,-0.4704,0.4123,345368,2021-05-19 16:36:39:784
-2.613,-26.1177,-10.171,-1.734,-9.11,-3.1894,-2.2886,0.5215,-9.4627,1.0392,-0.5024,-0.4682,345868,2021-05-19 16:36:40:284
3.9156,-12.8925,-5.5576,-1.8029,-9.0165,3.4091,-0.2891,-1.2326,-2.1798,1.2611,-0.1683,0.1002,346376,2021-05-19 16:36:40:792
-11.3898,-19.2299,-12.6323,-0.649,-9.6519,-1.6094,-3.3683,9.2746,5.3332,-0.8793,1.9436,0.3569,346868,2021-05-19 16:36:41:284
5.6946,-10.8673,-2.0503,-0.1996,-9.4946,2.4461,0.4672,-0.1906,-1.3631,1.7099,2.9834,-0.441,347368,2021-05-19 16:36:41:784
5.2445,2.1733,-11.1909,7.644,-6.0729,-0.9273,0.1925,6.7357,-6.7191,-0.3016,1.7169,-0.6588,347868,2021-05-19 16:36:42:284
6.7621,-8.2457,-1.6361,2.3473,-9.5215,-0.0285,4.1904,0.7675,-1.6824,-1.1632,-0.0977,-0.2798,348369,2021-05-19 16:36:42:785
9.0655,-2.5238,-3.0775,7.6035,-6.1476,-0.7513,-3.9726,7.2879,-0.6058,-2.1309,1.6693,-1.428,348868,2021-05-19 16:36:43:284
1.6926,-2.0521,11.2406,2.4512,3.2464,8.9232,-0.6349,-3.0856,-3.8774,1.1514,3.0828,-1.6223,349369,2021-05-19 16:36:43:785
2.0112,3.501,8.5472,0.2635,4.7957,8.55,-0.913,-2.3415,0.0171,1.0047,0.3236,0.9447,349868,2021-05-19 16:36:44:284
-1.3956,3.7307,10.4169,0.3562,5.0154,8.4196,-1.1724,-1.9452,-1.2868,0.5029,-0.0455,0.0231,350368,2021-05-19 16:36:44:784
-1.7309,3.7594,11.8343,-0.0088,4.9277,8.4787,-0.5474,-0.6103,-1.9331,-0.0699,0.1119,-0.087,350868,2021-05-19 16:36:45:284
1.3409,5.549,7.7752,1.2868,5.6985,7.8767,-1.6825,-1.7493,-2.428,0.4003,-0.5763,0.5241,351368,2021-05-19 16:36:45:784
-1.2209,5.3396,9.5635,0.3121,5.4116,8.1724,-0.1976,-0.9161,-1.3036,0.6021,0.0686,-0.181,351870,2021-05-19 16:36:46:286
-1.4662,4.7447,9.5671,-0.0582,5.6507,8.0148,-0.4035,-0.9572,-0.2035,0.4022,-0.3824,-0.0687,352367,2021-05-19 16:36:46:783
-1.5966,5.9201,8.1293,-0.0015,5.7189,7.9664,-0.0266,-1.6041,-2.1703,0.2949,-0.6596,-0.6667,352868,2021-05-19 16:36:47:284
-0.6727,6.4612,7.5212,0.2126,6.4648,7.371,-1.0443,-2.7886,-0.1308,1.2448,-1.4248,-0.4699,353368,2021-05-19 16:36:47:784
-1.1276,4.4189,5.6456,-0.3657,5.6863,7.9814,-0.5177,-0.7361,-1.8844,0.1694,-0.1886,-0.068,353868,2021-05-19 16:36:48:284
-0.9371,4.6896,7.9104,-0.1646,5.295,8.2526,-1.5747,-1.8544,-1.8932,0.009,0.0753,0.5551,354368,2021-05-19 16:36:48:784
-0.1089,5.8232,7.3717,-0.1157,5.3831,8.1963,-0.5305,-0.7829,-2.2873,0.1608,-0.1788,-0.0328,354867,2021-05-19 16:36:49:283
-2.0647,4.1402,7.9391,-0.1785,5.3327,8.228,-0.4773,-0.9467,-1.6491,-0.1898,-0.6002,0.3047,355368,2021-05-19 16:36:49:784
3.9359,6.6861,8.6824,1.3341,4.7628,8.468,1.3778,0.3995,-4.3214,-0.9871,-0.1078,-0.2599,355871,2021-05-19 16:36:50:287
15.4026,-1.1856,5.5678,8.3259,-4.8335,-1.8673,6.9753,2.5747,2.8837,0.7368,2.4794,1.5247,356368,2021-05-19 16:36:50:784
9.5704,-5.4446,-5.5433,7.5555,-4.4063,-4.435,-3.7914,1.7882,3.7705,-1.9996,0.6583,1.3237,356871,2021-05-19 16:36:51:287
10.5879,-19.5458,0.5378,1.263,-9.7248,0.0523,0.922,2.8713,1.0801,1.5019,0.697,3.2431,357368,2021-05-19 16:36:51:784
2.4266,-17.8053,-20.1042,-1.21,-8.3066,-5.0702,3.7383,5.9539,-4.6713,0.3908,-2.0744,0.0421,357868,2021-05-19 16:36:52:284
3.827,-12.1241,-0.4845,-3.3092,-9.1622,1.1283,-0.0287,-1.2061,-5.2512,0.48,0.8043,0.0796,358368,2021-05-19 16:36:52:784
-1.2652,-15.6673,-25.4982,-2.2364,-8.4379,-4.4688,-0.6528,8.6966,8.0207,-0.8323,-2.3541,-0.3561,358868,2021-05-19 16:36:53:284
2.6468,-12.9838,1.153,-3.4044,-9.0689,1.528,1.8467,-3.143,-6.6284,1.3724,-1.6789,1.0465,359368,2021-05-19 16:36:53:784
-0.1615,-10.7094,-19.5942,-2.7536,-8.5135,-4.0135,0.7316,6.7625,-1.3032,0.2466,-1.8278,0.241,359868,2021-05-19 16:36:54:284
-2.0169,-10.7955,-5.45,-3.4494,-8.9981,1.8182,-0.4462,-0.3462,-4.9522,0.4667,0.9063,-0.2278,360368,2021-05-19 16:36:54:784
-16.5395,-13.2876,-7.9014,-2.8323,-8.44,-4.1127,-2.6436,-9.7481,-11.3191,-1.6496,-1.6898,-0.201,360868,2021-05-19 16:36:55:284
4.3202,-13.0244,-1.8637,-3.455,-8.988,1.8573,1.9383,-2.3035,-4.7274,1.1803,0.2616,0.7239,361368,2021-05-19 16:36:55:784
-1.215,-16.5867,-20.4562,-2.6586,-8.7061,-3.6477,-1.1792,9.0986,3.642,0.5117,-1.672,0.56,361868,2021-05-19 16:36:56:284
3.7289,-11.8155,-1.7151,-3.5403,-8.9246,1.9969,-1.505,2.0898,-2.5853,0.6507,1.2425,-0.1359,362368,2021-05-19 16:36:56:784
-8.1577,-20.3408,-7.619,-2.6298,-8.7513,-3.5594,0.6053,4.1835,-7.7429,0.1988,-0.3503,0.5267,362868,2021-05-19 16:36:57:284
-3.6233,-11.1162,-10.7216,-3.5905,-8.8178,2.3504,1.1684,-0.8005,-3.7057,1.5137,-0.8567,0.5973,363368,2021-05-19 16:36:57:784
-4.0208,-18.7223,-12.0721,-1.6541,-8.8572,-3.8709,-1.3289,7.9203,6.4903,0.8865,-1.3475,-0.4757,363869,2021-05-19 16:36:58:285
-3.9873,-11.6883,1.0286,-2.3351,-9.2309,2.3468,-2.451,-4.789,-2.4628,0.4279,-0.7101,-1.2486,364369,2021-05-19 16:36:58:785
19.9896,-16.9388,-15.8043,6.5324,-6.985,-2.1699,-6.5862,7.9939,0.3966,-2.1622,-0.0533,0.5773,364868,2021-05-19 16:36:59:284
6.827,-9.469,-0.4199,2.547,-9.4677,0.2132,1.1925,-0.7046,-0.9177,0.6564,-0.3787,0.9147,365368,2021-05-19 16:36:59:784
4.7967,-5.38,-4.2793,6.6379,-6.0743,-3.9002,-3.981,4.1989,3.2899,0.2833,-1.197,-0.0738,365868,2021-05-19 16:37:00:284
11.5265,-4.2978,-5.2298,6.2752,-7.3932,1.4606,-3.7147,3.6643,-5.709,0.3673,-0.9511,2.1041,366370,2021-05-19 16:37:00:786
2.6575,0.1804,5.3629,7.7324,1.0124,5.9461,-0.6745,-2.6414,-3.0541,1.0224,3.5793,-0.133,366868,2021-05-19 16:37:01:284
-2.7508,4.2215,8.8753,1.5042,3.8874,8.8767,-1.0758,-0.963,-2.4789,-0.5372,-0.0831,-0.0681,367368,2021-05-19 16:37:01:784
-1.1934,4.255,6.5492,0.7949,4.4098,8.7231,-1.1247,-0.7927,-2.1573,0.1011,-0.0052,-0.5076,367868,2021-05-19 16:37:02:284
-0.5303,5.0031,3.9517,0.6343,4.8,8.5281,-1.2168,-1.5234,-1.5183,0.595,-0.1188,0.7122,368368,2021-05-19 16:37:02:784
-0.5818,4.5006,6.7445,0.5244,4.8147,8.5272,-0.89,-1.6879,0.359,0.21,-0.0179,-0.0469,368868,2021-05-19 16:37:03:284
-2.1736,2.9755,6.9766,0.2211,4.3293,8.7965,-0.6589,-1.5641,-0.7219,-0.458,0.3543,0.3705,369368,2021-05-19 16:37:03:784
0.1953,4.2191,5.703,0.3494,4.4834,8.7148,2.2983,-1.8994,2.9553,0.0825,-0.5666,-0.5922,369868,2021-05-19 16:37:04:284
-1.2245,3.6099,6.0514,0.8795,4.4292,8.7051,-3.1327,-2.1424,0.9664,0.0368,0.29,0.6568,370368,2021-05-19 16:37:04:784
-2.2959,4.8392,7.4674,-0.8308,5.3848,8.1538,0.3014,-0.724,-0.0398,0.4598,0.2271,8.00E-04,370868,2021-05-19 16:37:05:284
-4.1189,5.47,6.9407,-0.4288,5.1387,8.3415,-1.4551,1.0514,1.0848,0.3584,-0.2336,0.3589,371368,2021-05-19 16:37:05:784
2.0662,3.2255,10.1536,0.3923,4.1405,8.881,-2.1454,0.9756,2.6611,-0.0918,-0.2792,-0.1918,371869,2021-05-19 16:37:06:285
-2.7628,1.6525,16.7542,0.0389,3.939,8.9807,-1.1853,1.2649,1.1758,0.237,0.2905,-0.1025,372368,2021-05-19 16:37:06:784
0.9242,4.3496,11.93,0.4349,4.6946,8.599,0.0494,-0.4079,-0.6541,-0.1979,0.2252,0.0927,372869,2021-05-19 16:37:07:285
-0.7732,4.1091,9.0703,-0.4739,4.1484,8.8734,-0.6498,0.8548,-1.9717,-0.2955,-0.0322,-0.1587,373368,2021-05-19 16:37:07:784
-1.1898,5.0668,9.5611,-0.3612,4.1551,8.8755,-1.0031,0.5274,-0.409,-0.0527,-0.3083,0.0693,373868,2021-05-19 16:37:08:284
0.0491,5.403,8.2406,-0.2998,4.2835,8.8166,0.0442,0.5251,-0.8793,0.0657,-0.1545,-0.0913,374368,2021-05-19 16:37:08:784
-0.5662,5.0115,8.6405,0.0147,3.6941,9.0842,-0.7944,-0.0077,-2.7535,0.2541,-0.1495,0.2045,374868,2021-05-19 16:37:09:284
-0.6631,4.1976,4.9406,-0.5617,4.1543,8.8655,-0.0498,-0.1704,-3.5967,0.2196,0.0701,-0.3763,375368,2021-05-19 16:37:09:784
-0.9526,4.6944,5.7413,-0.5535,4.2043,8.8424,0.1064,-0.1171,-3.6371,0.16,-0.0055,0.3946,375868,2021-05-19 16:37:10:284
-0.1926,3.6171,6.1819,-0.3957,4.0011,8.9445,2.2392,-0.7862,-0.348,0.2993,0.027,-0.2724,376368,2021-05-19 16:37:10:784
-0.0802,3.5895,5.0806,-0.6462,3.4217,9.1676,0.3141,-0.0952,1.0878,-1.3793,-0.3082,0.2372,376868,2021-05-19 16:37:11:284
0.1068,2.4547,10.5775,-0.5369,4.1478,8.87,1.5635,-0.8311,4.9023,0.1037,0.2349,-0.3369,377368,2021-05-19 16:37:11:784
-1.1791,3.2925,8.2848,-0.6426,3.9799,8.9397,-2.8243,-1.5103,5.5658,0.0047,0.0967,0.1075,377868,2021-05-19 16:37:12:284
0.486,4.005,9.2665,-0.3943,4.2986,8.8055,1.4565,0.0517,2.023,-0.1222,-0.3236,-0.3925,378368,2021-05-19 16:37:12:784
-0.9754,3.1454,6.9347,-0.5433,4.2771,8.808,-1.4448,-0.7712,1.2557,0.5123,0.1446,0.2387,378868,2021-05-19 16:37:13:284
1.5574,4.5796,9.3682,-0.8932,4.8792,8.4597,-0.9446,1.7156,1.8,-0.2088,-0.1935,-0.3851,379368,2021-05-19 16:37:13:784
-2.607,4.2933,9.3383,-1.065,4.5706,8.6108,-1.1438,2.2664,1.8276,-0.3592,-0.045,0.0341,379868,2021-05-19 16:37:14:284
0.1355,3.1992,13.3352,-0.4579,4.3939,8.7552,0.1796,1.1181,1.6018,-0.3554,-0.2382,-0.0644,380368,2021-05-19 16:37:14:784
-0.9323,6.655,9.816,-0.5347,4.5035,8.695,0.0414,0.0079,-0.5642,0.3874,-0.0292,-0.0496,380868,2021-05-19 16:37:15:284
-1.2389,4.8021,8.9973,-0.4693,4.5571,8.6708,-0.6251,0.0944,-0.7383,-0.1225,-0.3183,-0.1274,381368,2021-05-19 16:37:15:784
-0.5339,4.8703,8.5292,-0.3994,4.4897,8.7094,-0.1386,-0.0446,-1.2394,0.0018,0.0783,0.1156,381869,2021-05-19 16:37:16:285
0.4226,4.6334,6.8222,-0.7282,4.6895,8.5819,0.5254,-1.1372,-1.0005,-0.1309,-0.1883,0.1718,382367,2021-05-19 16:37:16:783
-1.2413,3.9317,7.6887,-0.5823,4.4973,8.6951,1.1775,-0.5031,-1.7765,-0.2185,-0.3853,-0.2401,382868,2021-05-19 16:37:17:284
0.3185,4.2311,6.3936,-0.8756,4.6003,8.6163,0.1991,-0.3423,-1.7642,-0.1884,-0.0979,0.0866,383368,2021-05-19 16:37:17:784
0.4765,3.5572,6.1496,-0.809,4.5428,8.6533,2.4423,-0.2001,1.8849,0.2714,0.3503,-0.3005,383868,2021-05-19 16:37:18:284
0.096,2.9862,9.81,-1.1613,4.4047,8.6845,-1.6166,-0.2231,0.1379,-0.1309,-0.2532,0.1889,384368,2021-05-19 16:37:18:784
2.8131,-1.037,1.7408,7.106,3.7672,5.611,-3.3206,-4.163,-0.1245,0.9407,-3.0214,2.1461,384870,2021-05-19 16:37:19:286
7.4925,-5.234,4.5096,7.0247,-5.764,-3.6879,1.5964,-0.5186,8.208,1.4621,-2.2626,0.0455,385368,2021-05-19 16:37:19:784
8.2872,-12.4379,-16.9199,-0.6741,-8.6658,-4.541,7.1592,-2.997,3.0515,-0.21,1.8881,4.2434,385875,2021-05-19 16:37:20:291
-12.6969,-19.0214,-8.1841,-6.2066,-7.2967,-2.0993,-0.5103,-9.797,1.8267,3.7538,2.4347,1.242,386368,2021-05-19 16:37:20:784
-0.9993,-6.431,-1.2867,-4.2525,-7.6271,-4.4625,-8.096,-6.0968,0.4665,-1.9184,2.2036,-0.348,386871,2021-05-19 16:37:21:287
1.7444,-0.0173,14.0668,-5.1239,-7.4889,-3.7193,1.5705,2.1864,8.5571,1.3561,1.1359,-0.0017,387368,2021-05-19 16:37:21:784
-10.9277,-7.7524,-2.5747,-4.8229,-7.9017,-3.2362,-2.0901,-8.2719,4.9536,-2.3171,0.1936,-1.3914,387868,2021-05-19 16:37:22:284
0.1714,-5.3201,4.5144,-5.8584,-7.8263,-0.7734,-4.1615,-8.6076,3.3985,3.0756,3.1544,1.2864,388368,2021-05-19 16:37:22:784
-2.9387,-7.5395,3.2213,-4.0126,-6.6585,-5.9778,2.1593,-3.5854,6.0409,-3.8102,-2.3147,-1.2593,388869,2021-05-19 16:37:23:285
-4.7342,-9.3637,-0.4008,-4.3565,-8.5742,-1.9167,0.5819,-4.4893,0.6053,2.0101,-0.9399,1.2029,389369,2021-05-19 16:37:23:785
-6.5991,-6.8166,4.0929,-3.2155,-8.5846,-3.4836,-7.3028,0.9369,3.5105,-2.4869,1.5926,-1.0584,389868,2021-05-19 16:37:24:284
-7.1617,-14.9731,-2.5484,-4.364,-8.6065,-1.7477,-0.3169,-0.9146,7.562,3.9988,0.8674,0.3688,390368,2021-05-19 16:37:24:784
-2.1867,-7.3816,5.6539,-3.8344,-8.6596,-2.5454,-4.3025,-4.913,3.725,-2.5654,1.5163,-0.6281,390869,2021-05-19 16:37:25:285
-1.349,-5.4302,2.2424,-4.2208,-8.304,-3.0659,-0.7001,0.8344,8.2933,1.6274,2.1065,0.379,391368,2021-05-19 16:37:25:784
-9.4409,-11.7577,0.6287,-4.1436,-8.4673,-2.7028,-5.6901,-7.6323,1.4199,-1.877,1.4039,-1.1281,391868,2021-05-19 16:37:26:284
-7.2144,-10.343,9.3526,-4.1227,-8.7727,-1.4878,-2.2453,9.4657,6.4413,2.0243,1.021,-0.3271,392368,2021-05-19 16:37:26:784
-10.8918,-8.2313,3.1161,-4.5755,-8.6729,-0.1248,1.8297,-3.6912,2.6903,-2.5778,2.9764,-1.284,392868,2021-05-19 16:37:27:284
-2.4885,-10.8506,-6.3861,-0.2065,-9.7733,-0.7815,-1.8621,-0.1105,10.9537,0.2274,1.2754,0.731,393369,2021-05-19 16:37:27:785
5.4287,-8.8657,0.0924,5.7184,-7.9525,0.4776,-3.8426,-0.5458,1.1714,-1.561,1.9129,-1.8025,393868,2021-05-19 16:37:28:284
-1.4973,-4.7982,-2.3423,7.9158,-4.686,-3.3989,4.3769,-4.3448,3.6686,1.3188,0.3709,1.5177,394368,2021-05-19 16:37:28:784
15.4337,-7.2906,11.3925,4.3617,-7.8105,4.0178,13.0035,-0.4221,7.19,-0.752,2.8061,-1.1701,394868,2021-05-19 16:37:29:284
-1.8625,1.8766,7.7222,-1.3,0.219,9.7176,1.7275,0.1783,-0.1109,1.5108,-0.1865,0.558,395368,2021-05-19 16:37:29:784
1.1767,2.5528,7.7847,-1.7456,0.397,9.6419,0.205,2.0978,0.2399,0.1104,-0.5601,0.3425,395868,2021-05-19 16:37:30:284
-1.7644,4.1151,11.5792,-1.8673,1.2183,9.5498,1.953,2.8984,-0.7407,0.0681,0.5082,-0.1993,396368,2021-05-19 16:37:30:784
0.6694,3.2746,13.0397,-1.211,1.5593,9.6058,-0.1854,2.1564,0.0236,-0.3367,-0.2718,0.122,396868,2021-05-19 16:37:31:284
-0.5841,3.6936,11.013,-0.1908,1.3593,9.7101,0.0994,2.5742,-4.0102,-0.3065,-0.1176,-0.2353,397368,2021-05-19 16:37:31:784
0.2336,3.684,10.43,-0.1662,1.701,9.6566,1.0321,0.7752,-1.2364,0.3405,0.3491,-0.1646,397868,2021-05-19 16:37:32:284
12.5919,-8.2313,6.9491,9.337,-1.1581,2.7659,-4.3333,-0.6267,-1.5497,0.1017,-2.6239,1.2922,398368,2021-05-19 16:37:32:784
10.1474,-11.2047,-0.0751,8.4418,-4.7469,-1.5406,-4.0263,0.6892,-3.3926,-0.0226,0.5948,-0.7211,398868,2021-05-19 16:37:33:284
3.1065,-5.4087,-0.8533,8.3417,-4.9367,-1.4885,-8.167,3.7748,-1.7742,-0.0263,-1.2982,0.2746,399368,2021-05-19 16:37:33:784
-1.0543,0.4041,2.1153,9.0624,-3.747,-0.0603,-8.5858,4.4632,-1.9087,-0.45,-1.5337,0.9661,399868,2021-05-19 16:37:34:284
6.0176,-4.1806,-7.8583,5.1199,-7.2085,-4.2421,-3.2761,4.2252,2.9669,0.9856,-0.8761,0.8796,400368,2021-05-19 16:37:34:784
4.78,-10.6182,-0.7696,1.7829,-9.5601,1.2636,0.1729,0.4419,-5.8525,1.4033,0.5411,1.0245,400868,2021-05-19 16:37:35:284
-0.2548,-6.5554,-16.5969,-1.1863,-8.5694,-4.6183,0.2497,8.3728,6.6327,0.9483,-0.5119,-0.1846,401368,2021-05-19 16:37:35:784
0.7005,-12.7681,-2.1939,-1.2208,-9.5795,1.7066,4.5617,-3.2715,-1.0202,0.4171,1.8109,-0.4337,401868,2021-05-19 16:37:36:284
